bootstrap_id,baseline_macro_f1,ensemble_macro_f1,delta_macro_f1,baseline_balanced_accuracy,ensemble_balanced_accuracy,delta_balanced_accuracy,baseline_minority_recall,ensemble_minority_recall,delta_minority_recall,baseline_worst_class_recall,ensemble_worst_class_recall,delta_worst_class_recall
0,0.8611667321082757,0.8829933740429048,0.021826641934629132,0.8452158609999821,0.8890222860773767,0.04380642507739452,0.20816326530612245,0.5306122448979592,0.32244897959183677,0.20816326530612245,0.5306122448979592,0.32244897959183677
1,0.8631489008220564,0.8851425556502686,0.02199365482821214,0.8458144050733346,0.8902151259593793,0.04440072088604474,0.23776223776223776,0.5594405594405595,0.3216783216783217,0.23776223776223776,0.5594405594405595,0.3216783216783217
2,0.8614464986875175,0.8861830066831602,0.024736507995642643,0.8449960544078596,0.891259303646291,0.04626324923843139,0.17666666666666667,0.5633333333333334,0.3866666666666667,0.17666666666666667,0.5633333333333334,0.3866666666666667
3,0.8639001405034893,0.8839178113651043,0.02001767086161499,0.8476001756619752,0.8901314586814824,0.04253128301950715,0.18996415770609318,0.4982078853046595,0.30824372759856633,0.18996415770609318,0.4982078853046595,0.30824372759856633
4,0.8600669127715851,0.8837379869759497,0.02367107420436465,0.8437158002203202,0.8885854696933871,0.04486966947306692,0.16095890410958905,0.5,0.339041095890411,0.16095890410958905,0.5,0.339041095890411
5,0.8628584877297031,0.881448842144457,0.018590354414753874,0.8463765094560078,0.8879813863804595,0.041604876924451695,0.1811320754716981,0.49056603773584906,0.309433962264151,0.1811320754716981,0.49056603773584906,0.309433962264151
6,0.8597412315012462,0.8815252528653778,0.0217840213641316,0.8434494960281728,0.8868499765502692,0.04340048052209644,0.19066147859922178,0.4785992217898833,0.2879377431906615,0.19066147859922178,0.4785992217898833,0.2879377431906615
7,0.8586965435065883,0.8818217657650473,0.023125222258459033,0.8422530209659146,0.88768009899277,0.045427078026855416,0.16981132075471697,0.5358490566037736,0.36603773584905663,0.16981132075471697,0.5358490566037736,0.36603773584905663
8,0.85997010627946,0.8804563563776222,0.020486250098162184,0.8428026014118707,0.8862100645086809,0.043407463096810206,0.19424460431654678,0.5107913669064749,0.3165467625899281,0.19424460431654678,0.5107913669064749,0.3165467625899281
9,0.8609284304558265,0.8839442570358762,0.023015826580049747,0.8446686071789523,0.8899330472039451,0.04526444002499275,0.18823529411764706,0.5176470588235295,0.3294117647058824,0.18823529411764706,0.5176470588235295,0.3294117647058824
10,0.8604984532051341,0.8846681551950523,0.02416970198991819,0.8442185607400109,0.8902060392561887,0.04598747851617779,0.2159090909090909,0.5227272727272727,0.30681818181818177,0.2159090909090909,0.5227272727272727,0.30681818181818177
11,0.8602637563364184,0.8822243083188493,0.021960551982430965,0.8437679241840709,0.8871987471194789,0.04343082293540801,0.18253968253968253,0.5,0.31746031746031744,0.18253968253968253,0.5,0.31746031746031744
12,0.8625375790017771,0.8840010761172951,0.021463497115517982,0.8458471765577597,0.8889034829455298,0.04305630638777014,0.18478260869565216,0.5289855072463768,0.34420289855072467,0.18478260869565216,0.5289855072463768,0.34420289855072467
13,0.8615542245348029,0.8827601340916239,0.021205909556821,0.8453431911237266,0.8890952958035446,0.04375210467981805,0.2037037037037037,0.4925925925925926,0.28888888888888886,0.2037037037037037,0.4925925925925926,0.28888888888888886
14,0.8620203903985273,0.8828139982534854,0.020793607854958096,0.8456642466178055,0.8886114848069981,0.04294723818919266,0.17832167832167833,0.5034965034965035,0.3251748251748252,0.17832167832167833,0.5034965034965035,0.3251748251748252
