run_id,class_id,class_label,precision,recall,f1,support,holdout_device,task
nb_binary_lgbm_weighted__Danmini_Doorbell,0,0,1.0,1.0,1.0,20000,Danmini_Doorbell,binary
nb_binary_lgbm_weighted__Danmini_Doorbell,1,1,1.0,1.0,1.0,200000,Danmini_Doorbell,binary
nb_binary_lgbm_weighted__Ecobee_Thermostat,0,0,1.0,0.9997712194005949,0.9998855966136597,13113,Ecobee_Thermostat,binary
nb_binary_lgbm_weighted__Ecobee_Thermostat,1,1,0.9999850002249966,1.0,0.9999925000562496,200000,Ecobee_Thermostat,binary
nb_binary_lgbm_weighted__Ennio_Doorbell,0,0,1.0,1.0,1.0,20000,Ennio_Doorbell,binary
nb_binary_lgbm_weighted__Ennio_Doorbell,1,1,1.0,1.0,1.0,100000,Ennio_Doorbell,binary
nb_binary_lgbm_weighted__Philips_B120N10_Baby_Monitor,0,0,0.9999499799919968,0.99955,0.999749949989998,20000,Philips_B120N10_Baby_Monitor,binary
nb_binary_lgbm_weighted__Philips_B120N10_Baby_Monitor,1,1,0.999955001799928,0.999995,0.99997500049999,200000,Philips_B120N10_Baby_Monitor,binary
nb_binary_lgbm_weighted__Provision_PT_737E_Security_Camera,0,0,0.997406742469579,1.0,0.9987016878058524,20000,Provision_PT_737E_Security_Camera,binary
nb_binary_lgbm_weighted__Provision_PT_737E_Security_Camera,1,1,1.0,0.99974,0.9998699830978027,200000,Provision_PT_737E_Security_Camera,binary
nb_binary_lgbm_weighted__Provision_PT_838_Security_Camera,0,0,0.9999000099990001,1.0,0.999950002499875,20000,Provision_PT_838_Security_Camera,binary
nb_binary_lgbm_weighted__Provision_PT_838_Security_Camera,1,1,1.0,0.99999,0.9999949999749999,200000,Provision_PT_838_Security_Camera,binary
nb_binary_lgbm_weighted__Samsung_SNH_1011_N_Webcam,0,0,1.0,1.0,1.0,20000,Samsung_SNH_1011_N_Webcam,binary
nb_binary_lgbm_weighted__Samsung_SNH_1011_N_Webcam,1,1,1.0,1.0,1.0,100000,Samsung_SNH_1011_N_Webcam,binary
nb_binary_lgbm_weighted__SimpleHome_XCS7_1002_WHT_Security_Camera,0,0,0.99995,0.99995,0.99995,20000,SimpleHome_XCS7_1002_WHT_Security_Camera,binary
