dataset,scope,model,run_id,n_features,macro_f1,minority_recall,macro_pr_auc,train_seconds,inference_ms_per_10000,model_size_kb
CICIoT2023 public subsample,"stratified quick three component ensemble screen, 220000 train and 80000 test rows",Three component ensemble screen,fine_lgbm_xgb_smoteenn_ensemble_macro_f1,46,0.8875398263203196,0.5733333333333334,0.9152320314490784,310.7047591999999,1559.2280903511346,
CICIoT2023 public subsample,"stratified quick three component ensemble screen, 220000 train and 80000 test rows",Three component ensemble screen,fine_lgbm_xgb_smoteenn_ensemble_macro_f1_plus_minority,46,0.8875398263203196,0.5733333333333334,0.9152320314490784,310.7047591999999,1559.2280903511346,
CICIoT2023 public subsample,"stratified quick three component ensemble screen, 220000 train and 80000 test rows",Three component ensemble screen,fine_lgbm_xgb_smoteenn_ensemble_recall_sensitive,46,0.8875398263203196,0.5733333333333334,0.9152320314490784,310.7047591999999,1559.2280903511346,
CICIoT2023 public subsample,"stratified quick model family screen, 220000 train and 80000 test rows",Borderline-SMOTE LightGBM,fine_lgbm_borderline_smote,46,0.8796957876037391,0.4464285714285714,0.905784953915395,30.99829880000016,1393.003350055868,31958.111328125
CICIoT2023 public subsample,"stratified quick model family screen, 220000 train and 80000 test rows",Weighted XGBoost,fine_xgb_full_weighted,46,0.8636810154659667,0.5535714285714286,0.9127277870949032,45.36318590000019,239.5133252220465,18081.849609375
CICIoT2023 public subsample,"stratified quick model family screen, 220000 train and 80000 test rows",Hierarchical LightGBM,fine_hier_lgbm_top20_weighted,20,0.8565412820770317,0.5535714285714286,,14.473495700000058,11757.96001600022,
CICIoT2023 public subsample,"stratified quick model family screen, 220000 train and 80000 test rows",Flat LightGBM,fine_lgbm_full,46,0.8473301537696853,0.125,0.8747224296774101,27.07333400000016,1345.005400089983,31125.1220703125
CICIoT2023 public subsample,"stratified quick model family screen, 220000 train and 80000 test rows",Weighted Random Forest,fine_rf_full_weighted,46,0.842140018934414,0.5535714285714286,0.8702458508957774,8.065105300000141,166.12818546978855,945085.2880859376
CICIoT2023 public subsample,"stratified quick SMOTEENN screen, 220000 train and 80000 test rows",SMOTEENN LightGBM,fine_lgbm_smoteenn,46,0.8082406148071706,0.7066666666666667,0.8494915465758367,86.82688180000002,1394.77689721122,26782.0712890625
CICIoT2023 public subsample,"stratified quick model family screen, 220000 train and 80000 test rows",Weighted CatBoost,fine_catboost_full_weighted,46,0.7920578399010542,0.2857142857142857,0.8435410137894062,108.10372330000018,13.692328205465449,7734.0205078125
CICIoT2023 public subsample,"stratified quick model family screen, 220000 train and 80000 test rows",Weighted ExtraTrees,fine_extratrees_full_weighted,46,0.7706976870923894,0.2321428571428571,0.8112442847242476,6.150618600000144,176.06373439560832,1581053.4697265625
CICIoT2023 public subsample,"stratified quick screen, train_n=220000, test_n=80000",Flat MLP,ciciot_fine_mlp_quick,46,0.5361477905975233,0.0,0.5744059240493503,5.765029800000036,9.313991424889396,131.15625
IoTID20 public mirror,stratified 70/30 quick model family screen,Top ten weighted LightGBM,iotid_fine_lgbm_mi_top10_weighted,10,0.620890096706347,0.4908380895163712,0.6784021005744981,9.949835800000074,203.9555170852821,12528.818359375
IoTID20 public mirror,stratified 70/30 quick model family screen,Weighted LightGBM,iotid_fine_lgbm_weighted,22,0.6185643194276701,0.4986482427155302,0.6767685835269226,14.14339579999978,209.1664953258601,12541.0869140625
IoTID20 public mirror,stratified 70/30 quick model family screen,Weighted XGBoost,iotid_fine_xgb_weighted,22,0.6176512605200674,0.4803244217482728,0.6763999462052488,21.470835199999783,73.51476283060919,8449.1474609375
IoTID20 public mirror,stratified 70/30 quick model family screen,Weighted CatBoost,iotid_fine_catboost_weighted,22,0.6163090465718006,0.4504355662361069,0.6785995793271116,56.87680730000011,6.412453724640304,2231.6611328125
IoTID20 public mirror,stratified 70/30 quick model family screen,Flat LightGBM,iotid_fine_lgbm_full,22,0.6102648120753437,0.2637428657254431,0.6784397039136251,13.98371010000028,215.32877193915522,12552.8076171875
IoTID20 public mirror,stratified 70/30 quick model family screen,Weighted Random Forest,iotid_fine_rf_weighted,22,0.6053644753528503,0.4689095824571943,0.6561839834623564,15.047292500000369,69.70967054622456,789298.15625
IoTID20 public mirror,stratified 70/30 quick screen,Flat MLP,iotid_fine_mlp_quick,22,0.4937061296603346,0.0379993992189846,0.575009732281568,11.693636199999958,6.866119796522082,56.8310546875
