Label,train_count,test_count
Backdoor_Malware,1578,448
BenignTraffic,97919,27977
BrowserHijacking,2879,808
CommandInjection,2646,760
DDoS-ACK_Fragmentation,24481,6993
DDoS-HTTP_Flood,14091,4033
DDoS-ICMP_Flood,24526,6942
DDoS-ICMP_Fragmentation,24426,7056
DDoS-PSHACK_Flood,24454,7023
DDoS-RSTFINFlood,24381,7108
DDoS-SYN_Flood,24474,7001
DDoS-SlowLoris,11495,3247
DDoS-SynonymousIP_Flood,24574,6886
DDoS-TCP_Flood,24500,6971
DDoS-UDP_Flood,24449,7029
DDoS-UDP_Fragmentation,24570,6891
DNS_Spoofing,24485,6986
DictionaryBruteForce,6439,1779
DoS-HTTP_Flood,24402,7083
DoS-SYN_Flood,24518,6950
DoS-TCP_Flood,24439,7041
DoS-UDP_Flood,24491,6982
MITM-ArpSpoofing,24436,7044
Mirai-greeth_flood,24467,7009
Mirai-greip_flood,24433,7047
Mirai-udpplain,24434,7046
Recon-HostDiscovery,24534,6933
Recon-OSScan,24509,6960
Recon-PingSweep,1100,325
Recon-PortScan,24520,6948
SqlInjection,2581,719
Uploading_Attack,603,187
VulnerabilityScan,18259,5278
XSS,1907,510
