Label,train_count,test_count
Backdoor_Malware,2578,640
BenignTraffic,160000,40000
BrowserHijacking,4704,1155
CommandInjection,4323,1086
DDoS-ACK_Fragmentation,40002,9998
DDoS-HTTP_Flood,23024,5766
DDoS-ICMP_Flood,40075,9925
DDoS-ICMP_Fragmentation,39912,10088
DDoS-PSHACK_Flood,39958,10042
DDoS-RSTFINFlood,39838,10162
DDoS-SYN_Flood,39990,10010
DDoS-SlowLoris,18784,4642
DDoS-SynonymousIP_Flood,40155,9845
DDoS-TCP_Flood,40033,9967
DDoS-UDP_Flood,39950,10050
DDoS-UDP_Fragmentation,40148,9852
DNS_Spoofing,40010,9990
DictionaryBruteForce,10521,2543
DoS-HTTP_Flood,39873,10127
DoS-SYN_Flood,40063,9937
DoS-TCP_Flood,39933,10067
DoS-UDP_Flood,40018,9982
MITM-ArpSpoofing,39928,10072
Mirai-greeth_flood,39979,10021
Mirai-greip_flood,39924,10076
Mirai-udpplain,39926,10074
Recon-HostDiscovery,40088,9912
Recon-OSScan,40047,9953
Recon-PingSweep,1797,465
Recon-PortScan,40066,9934
SqlInjection,4217,1028
Uploading_Attack,985,267
VulnerabilityScan,29836,7546
XSS,3117,729
