Label,train_count,test_count
Backdoor_Malware,496,179
BenignTraffic,30774,11191
BrowserHijacking,905,323
CommandInjection,831,304
DDoS-ACK_Fragmentation,7694,2797
DDoS-HTTP_Flood,4428,1613
DDoS-ICMP_Flood,7708,2777
DDoS-ICMP_Fragmentation,7676,2822
DDoS-PSHACK_Flood,7686,2809
DDoS-RSTFINFlood,7662,2843
DDoS-SYN_Flood,7692,2800
DDoS-SlowLoris,3613,1299
DDoS-SynonymousIP_Flood,7723,2754
DDoS-TCP_Flood,7700,2788
DDoS-UDP_Flood,7684,2812
DDoS-UDP_Fragmentation,7722,2756
DNS_Spoofing,7696,2795
DictionaryBruteForce,2024,711
DoS-HTTP_Flood,7669,2833
DoS-SYN_Flood,7706,2780
DoS-TCP_Flood,7681,2816
DoS-UDP_Flood,7697,2793
MITM-ArpSpoofing,7680,2818
Mirai-greeth_flood,7690,2804
Mirai-greip_flood,7679,2819
Mirai-udpplain,7679,2818
Recon-HostDiscovery,7711,2773
Recon-OSScan,7703,2785
Recon-PingSweep,346,130
Recon-PortScan,7706,2779
SqlInjection,811,288
Uploading_Attack,189,75
VulnerabilityScan,5739,2111
XSS,600,204
