n_test,n_classes,n_features,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,f1_weighted,mcc,train_seconds,inference_seconds,inference_ms_per_1000,model_size_kb,minority_recall_mean,worst_class_recall,worst_class_label,false_positive_rate,false_negative_rate,roc_auc,pr_auc,run_id,task,target_col,model_name,imbalance,feature_strategy,top_k,hierarchical,notes,sampling_note,train_rows,fit_rows,test_rows,feature_names,roc_auc_ovr_macro,pr_auc_macro,pr_auc_weighted
187735,2,22,0.9959943537433084,0.9859267275104087,0.9808633097824204,0.9859267275104087,0.9833796178993925,0.9960048432060259,0.9667767777566761,1.9219872000003306,0.3073967000000266,1.6373968625990178,1482.38671875,0.97438030277824,0.97438030277824,0,0.025619697221760107,0.002526847757422615,0.9981748000290127,0.9998652008179955,iotid_binary_lgbm_weighted,binary,binary_label,lgbm,class_weight,all,,False,,class_weight,438048,438048,187735,"[""Flow_Duration"", ""Init_Bwd_Win_Byts"", ""Dst_Port"", ""Idle_Mean"", ""Flow_IAT_Min"", ""Flow_Pkts/s"", ""Pkt_Len_Max"", ""ACK_Flag_Cnt"", ""Fwd_Pkt_Len_Max"", ""Bwd_Header_Len"", ""TotLen_Bwd_Pkts"", ""Fwd_Pkts/s"", ""Flow_Byts/s"", ""Bwd_Pkt_Len_Max"", ""Bwd_Pkts/s"", ""TotLen_Fwd_Pkts"", ""Flow_IAT_Max"", ""Fwd_Pkt_Len_Min"", ""Bwd_Pkt_Len_Mean"", ""Pkt_Len_Std"", ""SYN_Flag_Cnt"", ""Pkt_Len_Mean""]",,,
187735,9,22,0.6630889285428929,0.5994069411612607,0.6587182574384992,0.5994069411612607,0.6102648120753437,0.6617281761659934,0.5977724045983603,13.98371010000028,4.04247469999973,21.532877193915517,12552.8076171875,0.2637428657254431,0.2516175848098204,Mirai-Ackflooding,,,,,iotid_fine_lgbm_full,fine,Label,lgbm,none,all,,False,,none,438048,438048,187735,"[""Flow_Duration"", ""Init_Bwd_Win_Byts"", ""Dst_Port"", ""Idle_Mean"", ""Flow_IAT_Min"", ""Flow_Pkts/s"", ""Pkt_Len_Max"", ""ACK_Flag_Cnt"", ""Fwd_Pkt_Len_Max"", ""Bwd_Header_Len"", ""TotLen_Bwd_Pkts"", ""Fwd_Pkts/s"", ""Flow_Byts/s"", ""Bwd_Pkt_Len_Max"", ""Bwd_Pkts/s"", ""TotLen_Fwd_Pkts"", ""Flow_IAT_Max"", ""Fwd_Pkt_Len_Min"", ""Bwd_Pkt_Len_Mean"", ""Pkt_Len_Std"", ""SYN_Flag_Cnt"", ""Pkt_Len_Mean""]",0.9488995364296395,0.6784397039136251,0.7523089552117793
187735,9,22,0.6455375928835859,0.6484547209354417,0.6312233166549488,0.6484547209354417,0.6185643194276701,0.6733803302511039,0.5988804432343334,14.14339579999978,3.9267872000000352,20.916649532586014,12541.0869140625,0.4986482427155302,0.2855607309208169,Mirai-HTTP Flooding,,,,,iotid_fine_lgbm_weighted,fine,Label,lgbm,class_weight,all,,False,,class_weight,438048,438048,187735,"[""Flow_Duration"", ""Init_Bwd_Win_Byts"", ""Dst_Port"", ""Idle_Mean"", ""Flow_IAT_Min"", ""Flow_Pkts/s"", ""Pkt_Len_Max"", ""ACK_Flag_Cnt"", ""Fwd_Pkt_Len_Max"", ""Bwd_Header_Len"", ""TotLen_Bwd_Pkts"", ""Fwd_Pkts/s"", ""Flow_Byts/s"", ""Bwd_Pkt_Len_Max"", ""Bwd_Pkts/s"", ""TotLen_Fwd_Pkts"", ""Flow_IAT_Max"", ""Fwd_Pkt_Len_Min"", ""Bwd_Pkt_Len_Mean"", ""Pkt_Len_Std"", ""SYN_Flag_Cnt"", ""Pkt_Len_Mean""]",0.9485028356384918,0.6767685835269226,0.7506854948226296
187735,9,22,0.6630889285428929,0.5994069411612607,0.6587182574384992,0.5994069411612607,0.6102648120753437,0.6617281761659934,0.5977724045983603,13.913915799999813,3.9133100999997623,20.844861640076505,12552.8076171875,0.2637428657254431,0.2516175848098204,Mirai-Ackflooding,,,,,iotid_fine_lgbm_random_over,fine,Label,lgbm,random_over,all,,False,,random_over:no_small_classes,438048,438048,187735,"[""Flow_Duration"", ""Init_Bwd_Win_Byts"", ""Dst_Port"", ""Idle_Mean"", ""Flow_IAT_Min"", ""Flow_Pkts/s"", ""Pkt_Len_Max"", ""ACK_Flag_Cnt"", ""Fwd_Pkt_Len_Max"", ""Bwd_Header_Len"", ""TotLen_Bwd_Pkts"", ""Fwd_Pkts/s"", ""Flow_Byts/s"", ""Bwd_Pkt_Len_Max"", ""Bwd_Pkts/s"", ""TotLen_Fwd_Pkts"", ""Flow_IAT_Max"", ""Fwd_Pkt_Len_Min"", ""Bwd_Pkt_Len_Mean"", ""Pkt_Len_Std"", ""SYN_Flag_Cnt"", ""Pkt_Len_Mean""]",0.9488995364296395,0.6784397039136251,0.7523089552117793
187735,9,22,0.6630889285428929,0.5994069411612607,0.6587182574384992,0.5994069411612607,0.6102648120753437,0.6617281761659934,0.5977724045983603,13.997103300000163,3.988046700000268,21.24295789277582,12552.8076171875,0.2637428657254431,0.2516175848098204,Mirai-Ackflooding,,,,,iotid_fine_lgbm_smote,fine,Label,lgbm,smote,all,,False,,smote:no_small_classes,438048,438048,187735,"[""Flow_Duration"", ""Init_Bwd_Win_Byts"", ""Dst_Port"", ""Idle_Mean"", ""Flow_IAT_Min"", ""Flow_Pkts/s"", ""Pkt_Len_Max"", ""ACK_Flag_Cnt"", ""Fwd_Pkt_Len_Max"", ""Bwd_Header_Len"", ""TotLen_Bwd_Pkts"", ""Fwd_Pkts/s"", ""Flow_Byts/s"", ""Bwd_Pkt_Len_Max"", ""Bwd_Pkts/s"", ""TotLen_Fwd_Pkts"", ""Flow_IAT_Max"", ""Fwd_Pkt_Len_Min"", ""Bwd_Pkt_Len_Mean"", ""Pkt_Len_Std"", ""SYN_Flag_Cnt"", ""Pkt_Len_Mean""]",0.9488995364296395,0.6784397039136251,0.7523089552117793
187735,9,22,0.6630889285428929,0.5994069411612607,0.6587182574384992,0.5994069411612607,0.6102648120753437,0.6617281761659934,0.5977724045983603,14.219757700000628,4.151011300000391,22.111014461876533,12552.8076171875,0.2637428657254431,0.2516175848098204,Mirai-Ackflooding,,,,,iotid_fine_lgbm_borderline_smote,fine,Label,lgbm,borderline_smote,all,,False,,borderline_smote:no_small_classes,438048,438048,187735,"[""Flow_Duration"", ""Init_Bwd_Win_Byts"", ""Dst_Port"", ""Idle_Mean"", ""Flow_IAT_Min"", ""Flow_Pkts/s"", ""Pkt_Len_Max"", ""ACK_Flag_Cnt"", ""Fwd_Pkt_Len_Max"", ""Bwd_Header_Len"", ""TotLen_Bwd_Pkts"", ""Fwd_Pkts/s"", ""Flow_Byts/s"", ""Bwd_Pkt_Len_Max"", ""Bwd_Pkts/s"", ""TotLen_Fwd_Pkts"", ""Flow_IAT_Max"", ""Fwd_Pkt_Len_Min"", ""Bwd_Pkt_Len_Mean"", ""Pkt_Len_Std"", ""SYN_Flag_Cnt"", ""Pkt_Len_Mean""]",0.9488995364296395,0.6784397039136251,0.7523089552117793
187735,9,10,0.6485897674914107,0.6520597746814385,0.6339043032497307,0.6520597746814385,0.620890096706347,0.6752612740631277,0.6028837172572306,9.949835800000074,3.8289589000005435,20.39555170852821,12528.818359375,0.49083808951637126,0.2831721008001911,Mirai-HTTP Flooding,,,,,iotid_fine_lgbm_mi_top10_weighted,fine,Label,lgbm,class_weight,mi,10.0,False,,class_weight,438048,438048,187735,"[""Dst_Port"", ""Init_Bwd_Win_Byts"", ""TotLen_Bwd_Pkts"", ""Flow_Duration"", ""Flow_Pkts/s"", ""Pkt_Len_Mean"", ""Pkt_Len_Max"", ""Bwd_Pkt_Len_Mean"", ""Idle_Mean"", ""Bwd_Pkt_Len_Max""]",0.9492438175115403,0.6784021005744981,0.7524437061328164
187735,9,10,0.6447385942951501,0.6473569279663283,0.6303334481830871,0.6473569279663283,0.6177072248200315,0.6727088440441065,0.5978581378001193,10.66882649999934,3.800552400000015,20.244240019176047,12510.3193359375,0.4941423851006308,0.2924877582706318,Mirai-HTTP Flooding,,,,,iotid_fine_lgbm_importance_top10_weighted,fine,Label,lgbm,class_weight,importance,10.0,False,,class_weight,438048,438048,187735,"[""Init_Bwd_Win_Byts"", ""Dst_Port"", ""Flow_Duration"", ""Flow_Byts/s"", ""Bwd_Pkts/s"", ""Flow_IAT_Min"", ""Idle_Mean"", ""Pkt_Len_Std"", ""Flow_Pkts/s"", ""Flow_IAT_Max""]",0.9483717706100465,0.6762479017905005,0.7502556985663177
187735,9,22,0.6324979359203132,0.6261919539312903,0.6189436817096138,0.6261919539312903,0.6053644753528503,0.6643826773002066,0.5820072666911003,15.047292500000367,1.3086944999995467,6.970967054622456,789298.15625,0.46890958245719433,0.31500059715753015,Mirai-HTTP Flooding,,,,,iotid_fine_rf_weighted,fine,Label,rf,class_weight,all,,False,,class_weight,438048,438048,187735,"[""Flow_Duration"", ""Init_Bwd_Win_Byts"", ""Dst_Port"", ""Idle_Mean"", ""Flow_IAT_Min"", ""Flow_Pkts/s"", ""Pkt_Len_Max"", ""ACK_Flag_Cnt"", ""Fwd_Pkt_Len_Max"", ""Bwd_Header_Len"", ""TotLen_Bwd_Pkts"", ""Fwd_Pkts/s"", ""Flow_Byts/s"", ""Bwd_Pkt_Len_Max"", ""Bwd_Pkts/s"", ""TotLen_Fwd_Pkts"", ""Flow_IAT_Max"", ""Fwd_Pkt_Len_Min"", ""Bwd_Pkt_Len_Mean"", ""Pkt_Len_Std"", ""SYN_Flag_Cnt"", ""Pkt_Len_Mean""]",0.9397209067586968,0.6561839834623564,0.7326614471724643
187735,9,22,0.6453724665086426,0.6497905227880598,0.6315228409141478,0.6497905227880598,0.6176512605200674,0.6716881514455404,0.5994785838057204,21.470835199999783,1.3801294000004418,7.3514762830609195,8449.1474609375,0.4803244217482728,0.2901588439030216,Mirai-HTTP Flooding,,,,,iotid_fine_xgb_weighted,fine,Label,xgb,class_weight,all,,False,,class_weight,438048,438048,187735,"[""Flow_Duration"", ""Init_Bwd_Win_Byts"", ""Dst_Port"", ""Idle_Mean"", ""Flow_IAT_Min"", ""Flow_Pkts/s"", ""Pkt_Len_Max"", ""ACK_Flag_Cnt"", ""Fwd_Pkt_Len_Max"", ""Bwd_Header_Len"", ""TotLen_Bwd_Pkts"", ""Fwd_Pkts/s"", ""Flow_Byts/s"", ""Bwd_Pkt_Len_Max"", ""Bwd_Pkts/s"", ""TotLen_Fwd_Pkts"", ""Flow_IAT_Max"", ""Fwd_Pkt_Len_Min"", ""Bwd_Pkt_Len_Mean"", ""Pkt_Len_Std"", ""SYN_Flag_Cnt"", ""Pkt_Len_Mean""]",0.9489391650804107,0.6763999462052488,0.7510859429591294
187735,9,22,0.6495911790555837,0.6556048434449615,0.6345159485900251,0.6556048434449615,0.6163090465718006,0.6693878382703632,0.6073278763449023,56.87680730000011,0.12038419999953476,0.6412453724640305,2231.6611328125,0.4504355662361069,0.21867908754329393,Mirai-HTTP Flooding,,,,,iotid_fine_catboost_weighted,fine,Label,catboost,class_weight,all,,False,,class_weight,438048,438048,187735,"[""Flow_Duration"", ""Init_Bwd_Win_Byts"", ""Dst_Port"", ""Idle_Mean"", ""Flow_IAT_Min"", ""Flow_Pkts/s"", ""Pkt_Len_Max"", ""ACK_Flag_Cnt"", ""Fwd_Pkt_Len_Max"", ""Bwd_Header_Len"", ""TotLen_Bwd_Pkts"", ""Fwd_Pkts/s"", ""Flow_Byts/s"", ""Bwd_Pkt_Len_Max"", ""Bwd_Pkts/s"", ""TotLen_Fwd_Pkts"", ""Flow_IAT_Max"", ""Fwd_Pkt_Len_Min"", ""Bwd_Pkt_Len_Mean"", ""Pkt_Len_Std"", ""SYN_Flag_Cnt"", ""Pkt_Len_Mean""]",0.9496030050840454,0.6785995793271116,0.7532179267265522
