run_id,class_id,class_label,precision,recall,f1,support,holdout_device,task
nb_binary_lgbm_weighted__Danmini_Doorbell,0,0,1.0,1.0,1.0,5000,Danmini_Doorbell,binary
nb_binary_lgbm_weighted__Danmini_Doorbell,1,1,1.0,1.0,1.0,50000,Danmini_Doorbell,binary
nb_binary_lgbm_weighted__Ecobee_Thermostat,0,0,0.9996,0.9996,0.9996,5000,Ecobee_Thermostat,binary
nb_binary_lgbm_weighted__Ecobee_Thermostat,1,1,0.99996,0.99996,0.99996,50000,Ecobee_Thermostat,binary
nb_binary_lgbm_weighted__Ennio_Doorbell,0,0,1.0,0.999,0.9994997498749375,5000,Ennio_Doorbell,binary
nb_binary_lgbm_weighted__Ennio_Doorbell,1,1,0.9998000399920016,1.0,0.9999000099990001,25000,Ennio_Doorbell,binary
nb_binary_lgbm_weighted__Philips_B120N10_Baby_Monitor,0,0,0.6078335968860236,0.9994,0.755918614325694,5000,Philips_B120N10_Baby_Monitor,binary
nb_binary_lgbm_weighted__Philips_B120N10_Baby_Monitor,1,1,0.9999358686590136,0.93552,0.9666559894191922,50000,Philips_B120N10_Baby_Monitor,binary
nb_binary_lgbm_weighted__Provision_PT_737E_Security_Camera,0,0,0.9881399486064439,0.9998,0.9939357789044637,5000,Provision_PT_737E_Security_Camera,binary
nb_binary_lgbm_weighted__Provision_PT_737E_Security_Camera,1,1,0.9999799763721191,0.9988,0.9993896398875336,50000,Provision_PT_737E_Security_Camera,binary
nb_binary_lgbm_weighted__Provision_PT_838_Security_Camera,0,0,0.9997999199679872,0.9994,0.9995999199839968,5000,Provision_PT_838_Security_Camera,binary
nb_binary_lgbm_weighted__Provision_PT_838_Security_Camera,1,1,0.999940002399904,0.99998,0.999960000799984,50000,Provision_PT_838_Security_Camera,binary
nb_binary_lgbm_weighted__Samsung_SNH_1011_N_Webcam,0,0,1.0,1.0,1.0,5000,Samsung_SNH_1011_N_Webcam,binary
nb_binary_lgbm_weighted__Samsung_SNH_1011_N_Webcam,1,1,1.0,1.0,1.0,25000,Samsung_SNH_1011_N_Webcam,binary
nb_binary_lgbm_weighted__SimpleHome_XCS7_1002_WHT_Security_Camera,0,0,0.9997962510187449,0.9814,0.9905127169963666,5000,SimpleHome_XCS7_1002_WHT_Security_Camera,binary
nb_binary_lgbm_weighted__SimpleHome_XCS7_1002_WHT_Security_Camera,1,1,0.9981434161143496,0.99998,0.9990608640051153,50000,SimpleHome_XCS7_1002_WHT_Security_Camera,binary
nb_binary_lgbm_weighted__SimpleHome_XCS7_1003_WHT_Security_Camera,0,0,0.9899009900990099,0.9998,0.9948258706467662,5000,SimpleHome_XCS7_1003_WHT_Security_Camera,binary
nb_binary_lgbm_weighted__SimpleHome_XCS7_1003_WHT_Security_Camera,1,1,0.99997997997998,0.99898,0.999479739869935,50000,SimpleHome_XCS7_1003_WHT_Security_Camera,binary
nb_family_lgbm_weighted__Danmini_Doorbell,0,benign,1.0,1.0,1.0,5000,Danmini_Doorbell,family
nb_family_lgbm_weighted__Danmini_Doorbell,1,gafgyt,1.0,1.0,1.0,25000,Danmini_Doorbell,family
nb_family_lgbm_weighted__Danmini_Doorbell,2,mirai,1.0,1.0,1.0,25000,Danmini_Doorbell,family
nb_family_lgbm_weighted__Ecobee_Thermostat,0,benign,0.9998000399920016,1.0,0.9999000099990001,5000,Ecobee_Thermostat,family
nb_family_lgbm_weighted__Ecobee_Thermostat,1,gafgyt,1.0,0.99836,0.9991793270481795,25000,Ecobee_Thermostat,family
nb_family_lgbm_weighted__Ecobee_Thermostat,2,mirai,0.9983626198083068,0.99996,0.9991606714628297,25000,Ecobee_Thermostat,family
nb_family_lgbm_weighted__Ennio_Doorbell,0,benign,1.0,0.9996,0.9997999599919984,5000,Ennio_Doorbell,family
nb_family_lgbm_weighted__Ennio_Doorbell,1,gafgyt,0.9999200063994881,1.0,0.999960001599936,25000,Ennio_Doorbell,family
nb_family_lgbm_weighted__Ennio_Doorbell,2,mirai,0.0,0.0,0.0,0,Ennio_Doorbell,family
nb_family_lgbm_weighted__Philips_B120N10_Baby_Monitor,0,benign,1.0,0.9992,0.9995998399359743,5000,Philips_B120N10_Baby_Monitor,family
nb_family_lgbm_weighted__Philips_B120N10_Baby_Monitor,1,gafgyt,1.0,1.0,1.0,25000,Philips_B120N10_Baby_Monitor,family
nb_family_lgbm_weighted__Philips_B120N10_Baby_Monitor,2,mirai,0.9998400255959047,1.0,0.9999200063994881,25000,Philips_B120N10_Baby_Monitor,family
nb_family_lgbm_weighted__Provision_PT_737E_Security_Camera,0,benign,0.996412198525015,0.9998,0.9981032245183189,5000,Provision_PT_737E_Security_Camera,family
nb_family_lgbm_weighted__Provision_PT_737E_Security_Camera,1,gafgyt,0.999960001599936,1.0,0.999980000399992,25000,Provision_PT_737E_Security_Camera,family
nb_family_lgbm_weighted__Provision_PT_737E_Security_Camera,2,mirai,1.0,0.99928,0.9996398703533272,25000,Provision_PT_737E_Security_Camera,family
nb_family_lgbm_weighted__Provision_PT_838_Security_Camera,0,benign,1.0,0.9992,0.9995998399359743,5000,Provision_PT_838_Security_Camera,family
nb_family_lgbm_weighted__Provision_PT_838_Security_Camera,1,gafgyt,0.9998400255959047,1.0,0.9999200063994881,25000,Provision_PT_838_Security_Camera,family
