class_label,support,precision_flat,recall_flat,f1_flat,precision_ensemble,recall_ensemble,f1_ensemble,precision_delta,recall_delta,f1_delta
Uploading_Attack,267,0.3642857142857142,0.1910112359550561,0.2506142506142506,0.4041297935103244,0.5131086142322098,0.4521452145214521,0.039844079224610196,0.3220973782771537,0.20153096390720154
Recon-PingSweep,465,0.6974169741697417,0.4064516129032258,0.5135869565217391,0.5575539568345323,0.6666666666666666,0.6072477962781586,-0.13986301733520934,0.26021505376344084,0.09366083975641948
Backdoor_Malware,640,0.5708884688090737,0.471875,0.5166809238665526,0.5873925501432665,0.640625,0.6128550074738416,0.01650408133419279,0.16875,0.09617408360728896
XSS,729,0.4860627177700348,0.382716049382716,0.4282425172678434,0.5005959475566151,0.5761316872427984,0.5357142857142857,0.014533229786580282,0.19341563786008242,0.1074717684464423
SqlInjection,1028,0.6932668329177057,0.5408560311284046,0.6076502732240437,0.6376936316695353,0.7208171206225681,0.6767123287671233,-0.055573201248170445,0.17996108949416345,0.06906205554307954
CommandInjection,1086,0.5815085158150851,0.440147329650092,0.5010482180293501,0.7021484375,0.6620626151012892,0.6815165876777252,0.12063992168491489,0.22191528545119715,0.1804683696483751
BrowserHijacking,1155,0.8632286995515696,0.6666666666666666,0.7523204689789936,0.6965174129353234,0.7272727272727273,0.7115628970775095,-0.16671128661624612,0.06060606060606066,-0.0407575719014841
DictionaryBruteForce,2543,0.8,0.7156901297679905,0.755500207555002,0.6905181529784984,0.7703499803381832,0.7282527881040892,-0.10948184702150165,0.054659850570192736,-0.027247419450912802
DDoS-SlowLoris,4642,0.996556177356866,0.997414907367514,0.9969853574504736,0.9969905417024936,0.999138302455838,0.998063266623628,0.0004343643456276025,0.0017233950883239757,0.0010779091731544233
DDoS-HTTP_Flood,5766,0.9987830319888734,0.9963579604578564,0.9975690223997222,0.9986099044309296,0.996704821366632,0.9976564534328616,-0.00017312755794385293,0.0003468609087755592,8.74310331393513e-05
VulnerabilityScan,7546,0.9984108065156932,0.9990723562152134,0.9987414718155924,0.998543046357616,0.9990723562152134,0.9988076311605724,0.0001322398419227877,0.0,6.615934497999909e-05
DDoS-SynonymousIP_Flood,9845,0.9990865726174768,0.9998984255967496,0.9994923342471316,0.999187982135607,0.9998984255967496,0.9995430776260344,0.00010140951813020216,0.0,5.074337890287328e-05
